SEQ_AUTO_INFRACAO;QUANTIDADE;UNIDADE;TIPO;GRUPO;NOME_POPULAR;NOME_CIENTIFICO;CITES;DESCRICAO;CARACTERISTICA;SITUACAO;ULTIMA_ATUALIZACAO_RELATORIO
447058;80;;Pesca;Pescado;Surubim;Pseudoplatystoma corruscans;N;Carne;Morto;80 kg, surubim inteiro, morto;08/11/2022 19:00
445521;2;Unidade;Fauna;Mamífero;Paca;;N;Carne;Morto;02 indivíduos abatidos;08/11/2022 19:00
445521;1;Unidade;Fauna;Ave;Pato-do-mato;;N;Carne;Morto;01 indivíduo, abatida;08/11/2022 19:00
525209;60;kg (1.000 L);Pesca;Pescado;Tambaqui;;N;Carne;Morto;tAMANHO INFERIOR AO PERMITIDO;08/11/2022 19:00
924555;1;Unidade;Fauna;Mamífero;Caititu;Pecari tajacu;N;;Vivo;;08/11/2022 19:00
924555;1;Unidade;Fauna;Ave;Papagaio-verdadeiro;Amazona aestiva;N;;Vivo;;08/11/2022 19:00
924555;12;Unidade;Fauna;Mamífero;Cutia;Dasyprocta azarae;N;Carne;Vivo;animal vivo;08/11/2022 19:00
924576;1;Unidade;Fauna;Mamífero;Tamanduá-mirim;;N;Carne;Morto;;08/11/2022 19:00
1091572;1;;Fauna;Ave;Curió;;;;Vivo;;08/11/2022 19:00
1359982;1;;Fauna;Ave;Papa-capim;;N;;Vivo;;08/11/2022 19:00
1485171;16;;Fauna;Ave;;;;Partes;Vivo;;08/11/2022 19:00
1486957;1;Unidade;Fauna;Ave;;;;;Vivo;;08/11/2022 19:00
1486957;2;Unidade;Fauna;Ave;Azulão;;;;Vivo;;08/11/2022 19:00
1486957;3;Unidade;Fauna;Ave;Sabiá;;;;Vivo;;08/11/2022 19:00
1486957;2;;Fauna;Ave;Sanhaço-cinzento;;;;Vivo;;08/11/2022 19:00
1486957;3;Unidade;Fauna;Ave;Cabeça-de-ouro;;;;Vivo;;08/11/2022 19:00
1486957;4;Unidade;Fauna;Ave;Periquito;;;;Vivo;;08/11/2022 19:00
1018449;10;kg (1.000 L);Pesca;Pescado;Surubim;Pseudoplatystoma corruscans;N;Carne;Morto;;08/11/2022 19:00
1489004;1;Unidade;Fauna;Mamífero;Gato-maracajá;Leopardus wiedii;N;Pele;Morto;;08/11/2022 19:00
524528;15;kg (1.000 L);Pesca;Pescado;Pirarucu;;N;Carne;Morto;pescado proibido;08/11/2022 19:00
524528;20;kg (1.000 L);Pesca;Pescado;Tambaqui;;N;Carne;Morto;tAMANHO INFERIOR AO PERMITIDO;08/11/2022 19:00
1803369;1;Unidade;Fauna;Ave;Cancã;Cyanocorax cyanopogon;N;;Vivo;;08/11/2022 19:00
1803369;1;Unidade;Fauna;Ave;coleiro-cabeça-preta-do-peito-amarelo;Sporophila nigricollis;N;;Vivo;;08/11/2022 19:00
1803369;1;Unidade;Fauna;Ave;Golinho;Sporophila albogularis;N;;Vivo;;08/11/2022 19:00
1803369;1;Unidade;Fauna;Ave;Galo-da-campina;Paroaria dominicana;N;;Vivo;;08/11/2022 19:00
1803369;1;Unidade;Fauna;Ave;Sabiá-laranjeira;Turdus rufiventris;N;;Vivo;;08/11/2022 19:00
1803369;1;Unidade;Fauna;Ave;Chopim;Molothrus bonariensis;N;;Vivo;;08/11/2022 19:00
1803369;2;Unidade;Fauna;Ave;Graúna;Gnorimopsar chopi;N;;Vivo;;08/11/2022 19:00
1850258;23;m³;Flora;Madeira Serrada;;;N;;Morta;;08/11/2022 19:00
1814146;122;Unidade;Pesca;;Swamp-ghost-crab;Ucides cordatus;N;;Vivo;;08/11/2022 19:00
1806074;1;Unidade;Fauna;Ave;Bico-de-veludo;Schistochlamys ruficapillus;N;;Vivo;;08/11/2022 19:00
1806074;1;Unidade;Fauna;Ave;Tico-tico-rei;Coryphospingus cucullatus;N;;Vivo;;08/11/2022 19:00
1806074;4;Unidade;Fauna;Ave;Azulão;Passerina brissonii;N;;Vivo;;08/11/2022 19:00
1806074;7;Unidade;Fauna;Ave;Canário-da-terra-verdadeiro;Sicalis flaveola;N;;Vivo;;08/11/2022 19:00
1806074;2;Unidade;Fauna;Ave;Pintassilgo;Carduelis magellanicus;N;;Vivo;;08/11/2022 19:00
1806074;1;Unidade;Fauna;Ave;Curió;Oryzoborus angolensis;S;;Vivo;;08/11/2022 19:00
1806074;1;Unidade;Fauna;Ave;coleiro-do-peito-branco;Sporophila caerulescens;N;;Vivo;;08/11/2022 19:00
1806074;2;Unidade;Fauna;Ave;Sabiá-poca;Turdus amaurochalinus;N;;Vivo;;08/11/2022 19:00
1806074;7;Unidade;Fauna;Ave;Trinca-ferro-verdadeiro;Saltator similis;N;;Vivo;;08/11/2022 19:00
1806074;1;Unidade;Fauna;Ave;Baiano;Sporophila nigricollis;N;;Vivo;;08/11/2022 19:00
1858786;2;Unidade;Fauna;Ave;Trinca-ferro-verdadeiro;Saltator similis;N;;Vivo;;08/11/2022 19:00
1858786;1;Unidade;Fauna;Ave;Tiê-sangue;Ramphocelus bresilius;N;;Vivo;;08/11/2022 19:00
1858786;6;Unidade;Fauna;Ave;Baiano;Sporophila nigricollis;N;;Vivo;;08/11/2022 19:00
1858786;1;Unidade;Fauna;Ave;Canário-da-terra-verdadeiro;Sicalis flaveola;N;;Vivo;;08/11/2022 19:00
1997111;15;kg (1.000 L);Pesca;Caranguejo;Swamp-ghost-crab;Ucides cordatus;N;;Vivo;;08/11/2022 19:00
1839363;36;Unidade;Pesca;;Swamp-ghost-crab;Ucides cordatus;N;;Vivo;;08/11/2022 19:00
1812161;5;Unidade;Fauna;Ave;Galo-de-briga;Gallus domesticus;N;;Vivo;;08/11/2022 19:00
1711795;9;M³;Flora;Madeira Serrada;;;;;Morta;;08/11/2022 19:00
1793924;2;Unidade;Fauna;Ave;coleiro-cabeça-preta-do-peito-amarelo;Sporophila nigricollis;N;;Vivo;;08/11/2022 19:00
